2020-01-26 04:00:37,641 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:38,046 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10091?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:38,050 [INFO ]  The Shawshank Redemption (1994) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:38,054 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:38,324 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10092?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:38,327 [INFO ]  Eyes Wide Shut (1999) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:38,332 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:38,646 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10093?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:38,649 [INFO ]  Full Metal Jacket (1987) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:38,656 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:39,308 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10094?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:39,311 [INFO ]  Barry Lyndon (1975) is older than 1980, Removing from Radarr...
2020-01-26 04:00:39,313 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:39,403 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10094?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:39,408 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:39,737 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10095?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:39,740 [INFO ]  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964) is older than 1980, Removing from Radarr...
2020-01-26 04:00:39,743 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:39,853 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10095?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:39,858 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:40,104 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10096?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:40,107 [INFO ]  Paths of Glory (1957) is older than 1980, Removing from Radarr...
2020-01-26 04:00:40,109 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:40,190 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10096?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:40,195 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:40,550 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10097?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:40,554 [INFO ]  Spartacus (1960) is older than 1980, Removing from Radarr...
2020-01-26 04:00:40,568 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:40,642 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10097?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:40,649 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:40,886 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10098?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:40,890 [INFO ]  The Shining (1980) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:40,894 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:41,250 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10099?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
